BESTDATE,BESTSTAT,NAMEADDR,Alias,LANDUSE,CASENO,PLNDESC,BPAPPLNO,DBIDESC,FirstFiled,COST,PROPUSE,APN,EntitlementStatus,NEIGHBORHOOD,PLANAREA,PLANDISTRICT,SUPDIST,ZONING,ZONEDISTRICTNAME,HEIGHTLIMIT,UNITS,UNITSNET,AFFORDABLE,AFFORDABLE_NET,RETAILCOMM_EXISTING,RETAILCOMM_PROPOSED,RETAILCOMM_NET,OFFICE_EXISTING,OFFICE_PROPOSED,OFFICE_NET,INDUSTRIAL_EXISTING,INDUSTRIAL_PROPOSED,INDUSTRIAL_NET,MEDICAL_EXISTING,MEDICAL_PROPOSED,MEDICAL_NET,VISITOR_EXISTING,VISITOR_PROPOSED,VISITOR_NET,CIE_EXISTING,CIE_PROPOSED,CIE_NET,SPONSOR,CONTACT,CONTACTPH,PLANNER,LOCATION
06/22/2015,BP FILED,1016 DE HARO ST,,Resident,,,201506229512,CONSTRUCT (N) 2-FAMILY RESENDENTIAL.,06/22/2015,$880000.00,2 FAMILY DWELLING,APN 4159004,0,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,SUPERVISORIAL DISTRICT 10,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7568322350, -122.401149)"
10/29/2014,BP FILED,1019 KANSAS ST,,Resident,,,201410290258,LEGALIZATION OF (E) UNAUTHORIZED (WITH COOKING FARLURES) 2ND DWELLING UNIT. UNIT LEGALIZATION ORDINA,10/29/2014,$6300.00,2 FAMILY DWELLING,APN 4158060,0,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,SUPERVISORIAL DISTRICT 10,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7567530763, -122.402460)"
11/25/2014,BP FILED,102 BAKER ST,,Resident,,,201411252470,COVERT (E) STORAGE SPACE @ 1ST FLR INTO GARAGE W/TOILET (UNDER SEP PERMIT). REBUILD (E) FRONT PORT &,11/25/2014,$50000.00,APARTMENTS,APN 1219018,0,Haight Ashbury,,Buena Vista,SUPERVISORIAL DISTRICT 5,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7720172859, -122.440249)"
03/24/2014,PL APPROVED,1020 BROADWAY,,Resident,2006.1202,"Proposed project would involve a three-lot subdivision and the new construction of three two-unit buildings, one on each newly subdivided lot. The buildings would total approximately 19,000 sq. ft., 10 parking spaces, and would be approximately 40 feet i",,,12/03/2007,$3498200.00,,APN 0150054,-1,Russian Hill,,Northeast,SUPERVISORIAL DISTRICT 3,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steve Kendrick,Brad Brewster,415-896-5900,KCONNER,"(37.7972167593, -122.413811)"
04/24/2015,PL FILED,1025 HOWARD ST,,Retail/Ent,2015-005200PRJ,The proposed project consists of the demolition of an existing building on site and construction of a new 8 story high hotel with a ground floor retail space and below ground parking.,,,04/24/2015,$0.00,,APN 3731095,0,South of Market,East SoMa (EN); South of Market,South of Market,SUPERVISORIAL DISTRICT 6,MUG,MIXED USE-GENERAL,65-X,0,0,0,0,18000,780,-17220,0,0,0,0,0,0,0,0,0,0,71800,71800,0,0,0,,Michael Stanton,,DVU,"(37.7789480534, -122.407524)"
10/01/2015,BP REINSTATED,1087 MISSISSIPPI ST,,Resident,,,201308295550,CONVERT (E) 2ND FLOOR VACANT LIGHT INDUSTRIAL SPACE INTO RESIDENTIAL UNIT,08/29/2013,$600000.00,,APN 4224049,-1,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,SUPERVISORIAL DISTRICT 10,UMU,URBAN MIXED USE,40-X,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quickdraw,Quickdraw,552-1888,JMARTIN,"(37.7529043718, -122.393348)"
04/29/2014,PL FILED,1028 MARKET ST,,Mixres,2014.0241,"The property is currently improved by a vacant two-story structure.  The project would demolish the existing 2-story commercial building and construct a 13-story mixed use building with 12 floors of residential use above ground floor retail, as well as t",,,04/29/2014,$70000000.00,CLUB,APN 0350002,0,Downtown/Civic Center,Downtown,Downtown,SUPERVISORIAL DISTRICT 6,C-3-G,DOWNTOWN- GENERAL,120-X,186,186,0,0,0,9657,9657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sally Maxwell,Sally Maxwell,883-0133,DDWYER,"(37.7818834810, -122.411323)"
01/30/2012,BP REINSTATED,103 WALBRIDGE ST,,Resident,,,201201242773,ERECT THREE STORY TWO FAMILY DWELLING RESIDENTIAL BUILDING.,01/24/2012,$300000.00,2 FAMILY DWELLING,APN 6428007,-1,Crocker Amazon,,South Central,SUPERVISORIAL DISTRICT 10,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7090593769, -122.423833)"
11/24/2015,PL FILED,1030 WASHINGTON ST,,Retail/Ent,2015-006347PRJ,Change of use from existing non-residential use to a new Restaurant.,,,05/20/2015,$0.00,,APN 0191008A,0,Nob Hill,,Northeast,SUPERVISORIAL DISTRICT 3,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",65-A,0,0,0,0,0,450,450,0,0,0,0,0,0,0,0,0,0,0,0,450,0,-450,,SACARDUS PROPERTIES LLC,415-812-7648,ABRASK,"(37.7948286179, -122.410298)"
10/20/2015,BP FILED,1032 PACIFIC AV,,Resident,2015-015804PRJ,,201510200295,ERECT 5 STORY 6 UNITS RESIDENTIAL BUILDING.,10/20/2015,$1800000.00,APARTMENTS,APN 0158010,-1,Nob Hill,,Northeast,SUPERVISORIAL DISTRICT 3,RC-3,"RESIDENTIAL- COMMERCIAL, MEDIUM DENSITY",65-A,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7963705567, -122.412263)"
06/17/2015,PL FILED,1033 POLK ST,,Resident,2014.0914,"Build a new 8 story residential mixed-use building to the rear of an existing historic building.  The proposed program is for ground floor and second floor commercial/office space (3,175 sq.ft.) and 6 levels of residential space totaling 7,260 sq.ft. net",,,06/09/2014,$0.00,,APN 0694003,0,Downtown/Civic Center,Van Ness Corridor,Downtown,SUPERVISORIAL DISTRICT 3,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",130-V,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7864341618, -122.420065)"
09/11/2015,BP ISSUED,1036 - 1040 MISSION ST,,Mixres,2014.0103,"A 9 story mid-rise residential building, housing 83 afforable units ranging from studios (junior one-bedrooms to three bedroom flats. The project also includes common rooms, management offices, laundry, lobby, circulation & supportive service spaces desi",201406269523,"TO ERECT 9 STORIES, NO BASEMENT, 83 RESIDENTIAL APARTMENTS, RESIDENTIAL SUPPORT SPACES & RETAIL SPACES.",01/16/2014,$30000000.00,APARTMENTS,APN 3703079,-1,South of Market,Downtown,Downtown,SUPERVISORIAL DISTRICT 6,C-3-G,DOWNTOWN- GENERAL,120-X,83,83,83,83,0,963,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nick Griffin,Nick Griffin,415.776.2151,KCONNER,"(37.7805850084, -122.409786)"
12/01/2009,BP APPROVED,1036 MISSISSIPPI ST,,Resident,2007.0713,"New construction of two buildings with two units each, total of four units on a vacant lot.",200705010119,TO ERECT A NEW 3 STORY 2 DWELLING UNITS,05/01/2007,$800000.00,2 FAMILY DWELLING,APN 4224018,-1,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,SUPERVISORIAL DISTRICT 10,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7532771829, -122.394009)"
09/08/2010,BP REINSTATED,1067 TENNESSEE ST,,Resident,,,201006073967,PROPOSE NEW UNDERGROUND GARAGE WITH 3 CAR GARAGE PARKING. PROPOSED HORIZONTAL ADDITION AT 1ST FLOOR,06/07/2010,$550000.00,APARTMENTS,APN 4108010,-1,Potrero Hill,Central Waterfront (EN),South of Market,SUPERVISORIAL DISTRICT 10,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7584373354, -122.388988)"
01/29/2016,BP ISSUED,1036 POLK ST,,Mixres,2015-004792PRJ,"Proposed division of an existing dwelling unit to create an additional unit.  Requires variances from the rear yard, open space and dwelling unit exposure requirements.",201502138346,"CONVERT 2 BEDROOM APARTMENT INTO A STUDIO & ONE BEDROOM APARTMENT, ADD A KITCHEN, BATH AND 2 W/D,REMODEL  KITCHEN AND BATH, MAKE UNIT 302 INTO 302 & 302A; MAHER N/A",02/13/2015,$89000.00,APARTMENTS,APN 0693015,-1,Downtown/Civic Center,,Downtown,SUPERVISORIAL DISTRICT 6,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",80-T,37,1,0,0,15220,15220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Reuben, Junius & Rose LLP",,4155679000,CGROB,"(37.7866015637, -122.419640)"
10/06/2009,PL APPROVED,1036 WISCONSIN ST,,Resident,2008.0870,"Existing one-story single-family residence at 18-feet tall and 850 sqft with no off-street parking to be demolished. Proposed new 4-story, 2-unit residence at 40-feet tall and 3,765 sqft with 2 off-street parking spaces.",,,07/24/2008,$0.00,,APN 4219004,-1,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,SUPERVISORIAL DISTRICT 10,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denise Lindsay,,,BBOLLING,"(37.7541910458, -122.398956)"
10/03/2014,CONSTRUCTION,104 BACHE ST,,Resident,2008.0382,Rear yard and parking variance,200706265226,TO ERECT TWO DWELLING UNIT WITH 3 STORY NEW BLDG,06/26/2007,$135000.00,2 FAMILY,APN 5826002,-1,Bernal Heights,,Bernal Heights,SUPERVISORIAL DISTRICT 9,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7337909400, -122.417782)"
11/24/2014,BP FILED,1044 JACKSON ST,,Resident,,,201411242420,VERTICAL ADDITION OF 2 FLOORS TO CREATE AN ADDITIONAL RESIDENTIAL UNIT.  4 BEDROOMS AND 2 BATHS AND,11/24/2014,$350000.00,APARTMENTS,APN 0181013,0,Nob Hill,,Northeast,SUPERVISORIAL DISTRICT 3,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",65-A,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7954586092, -122.412286)"
02/12/2016,CONSTRUCTION,1050 VALENCIA ST,,Mixres,2007.1457,"New Construction of 16-du Res Mixed Use bldg, w/25,000-gsf residential, 2,000-gsf retail, and 2,800 full basement storage, totalling 30,480 with one loading space retained.  Demolition of 1970-constrone-story SPORK restaurant bldg and parking, and replac",201012277437,"ERECT 5 STORIES OF 15 DWELLING UNITS, WITH COMMERCIAL,TYPE 5.",03/12/2010,$2000000.00,,APN 3617008,-1,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 8,NCT-VALENCIA,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT,55-X,15,15,0,0,1600,3500,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stephen Antonaros,Stephen Antonaros,415.864.2261,JBATTIS,"(37.7559439906, -122.421318)"
06/16/2014,PL FILED,1053 MARKET ST,,Visitor,2014.0408,The proposed project would demolish an existing commercial building and construct a 10-story tourist hotel with 155 rooms with a ground floor retail space.,,,06/16/2014,$23559190.00,,APN 3703066,0,South of Market,Downtown,Downtown,SUPERVISORIAL DISTRICT 6,C-3-G,DOWNTOWN- GENERAL,90-X,0,0,0,0,16000,4000,-12000,0,0,0,0,0,0,0,0,0,0,70000,70000,0,0,0,Michael Stanton,Lisa Zhuo,415-865-9600,LYEGAZU,"(37.7810079386, -122.411156)"
03/23/2016,CONSTRUCTION,1055 ASHBURY ST,,Resident,2013.0771,Construction of a 4 story single family home on empty lot,201307313282,"TO ERECT 4 STORIES, 1 BASEMENT, SINGLE FAMILY DWELLING.",07/31/2013,$0.00,,APN 1269167,-1,Haight Ashbury,,Buena Vista,SUPERVISORIAL DISTRICT 5,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Derrel My,Chris Fol,577-9885,CJP,"(37.7636922120, -122.446738)"
12/31/2015,BP FILED,1058 MISSISSIPPI ST,,Resident,2016-000814PRJ,,201512316217,TO ERECT 3 STORIES OF 2 FAMILY DWELLING.,12/31/2015,$800000.00,2 FAMILY DWELLING,APN 4224022,0,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,SUPERVISORIAL DISTRICT 10,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7530033585, -122.393982)"
02/17/2016,BP Filed,1060 FOLSOM ST,,Vacant,2016-002535PRJ,,201602179843,CHANGE OF USE FROM INDUSTRIAL/WEARHOUSE TO ASSEEMBLY AND SOCIAL SERVICE USE (DBA ALCHEMY) AND REMOVE,02/17/2016,$1.00,OFFICE,APN 3731023,0,South of Market,East SoMa (EN); South of Market,South of Market,SUPERVISORIAL DISTRICT 6,NCT-SOMA,SOMA NEIGHBORHOOD COMMERCIAL TRANSIT,65-X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7775933301, -122.407165)"
11/04/2010,BP REINSTATED,1060 GILMAN AV,,Resident,,,200610245911,ERECT 3 STORIES 1 DWELLING UNIT BLDG.,10/24/2006,$450000.00,1 FAMILY DWELLING,APN 4937014,-1,Bayview,Bayview Hunters Point,South Bayshore,SUPERVISORIAL DISTRICT 10,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7191086990, -122.389150)"
03/17/2016,PL APPROVED,1066 MARKET ST,,Mixres,2013.1753,"The proposed project is the demolition of existing 2-story commercial building and parking lot and new construction of a 14-story building to house approximately up to 330 residential units, approximately 1,885 sq.ft. of retail on Market Street, approxim",201406128212,"TO ERECT 14 STORIES, 2 BASEMENT, 304 RESIDENTIAL & RETAIL BUILDING.",06/18/2014,$86400000.00,APARTMENTS,APN 0350003,-1,Downtown/Civic Center,Downtown,Downtown,SUPERVISORIAL DISTRICT 6,C-3-G,DOWNTOWN- GENERAL,120-X,304,304,0,0,5066,4540,-526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thomas Hart,Thomas Hart,772-7000,IWILSON,"(37.7817990067, -122.411742)"
