BESTSTAT,BESTDATE,NAMEADDR,CASENO,BPAPPLNO,PROPUSE,BLKLOT,LANDUSE,DESCRIPT,DBIDESC,UNITS,UNITSNET,AFF,AFFNET,TOTAL_GSF,CIE,MED,MIPS,PDR,RET,VISIT,NET_GSF,CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,Entitlement,Alias,ZONING,ZONING_SIMPLIFY,HEIGHT,PLNNBRHOOD,PLNDISTRICT,SUPEDIST,SOURCE,PLANNER,FILEDATE,SPONSOR,CONTACT,CONTACTPH,DECISION,DECDATE,ACTION,ACTDATE,GEOGRAPHY
PL FILED,12/18/2014,1500-1580 MISSION ST,2014-000362PRJ,,,3506002,Mixres,"The proposed project would demolish two buildings, except for a portion of Mission Street frontage and clock tower of the 1500 Mission Street building and construct a mixed-use project. The mixed-use building would include ground-floor retail, residentia",,550,550,110,110,513000,0,0,462000,0,51000,0,426018,0,0,447009,-5700,36009,0,,GOODWILL,DOWNTOWN- GENERAL,C-3-G,85-R-2,South of Market,Mission,SUPERVISORIAL DISTRICT 6,manual,KGUY,,Related California Urban Housing,,415-677-9000,FILED,,,,"(37.77431951400, -122.41802054000)"
BP FILED,03/11/2015,500 FOLSOM ST,,201503110506,APARTMENTS,3736120,Resident,,"TO ERECT 42 STORIES, 6 BASEMENTS, 545 UNITS RESIDENTIAL APARTMENT BUILDING.",545,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,TRANSBAY DOWNTOWN RESIDENTIAL,TB DTR,50/165/400-TB,Financial District,South of Market,SUPERVISORIAL DISTRICT 6,PERMIT TRACKING,,,,,,,,,,"(37.78720355540, -122.39510677000)"
BP FILED,12/31/2010,2006 KEITH ST,,201012317718,1 FAMILY DWELLING,5386001,Resident,,Multiple Permits,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, ONE FAMILY",RH-1,40-X,Bayview,South Bayshore,SUPERVISORIAL DISTRICT 10,PERMIT TRACKING,,,,,,,,,,"(37.72869190340, -122.39030955300)"
BP FILED,10/10/2014,2889 JENNINGS ST,,201410108662,APARTMENTS,4913011,Resident,,"CONSTRUCT (N) 4-STORY, 9 DWELLING UNITS.",9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,40-X,Bayview,South Bayshore,SUPERVISORIAL DISTRICT 10,PERMIT TRACKING,,,,,,,,,,"(37.72212533640, -122.39279638600)"
BP FILED,03/17/2014,449 14th street,,201403170944,MISC GROUP RESIDNS.,3546026,Resident,,CHANGE OF USE FROM ASSEMBLY TO GROUP HOUSING. INSTALL INTERIOR PARTITIONS TO CREATE 10 NEW BEDROOMS,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,RESIDENTIAL TRANSIT ORIENTED- MISSION,RTO-M,45-X,Mission,Mission,SUPERVISORIAL DISTRICT 8,PERMIT TRACKING,,,,,,,,,,"(37.76780880130, -122.42325364200)"
PL FILED,02/11/2015,1601 MISSION ST,2014.1121,,,3514043,Mixres,"Proposing New Construction of a 120' tall building consisting of 11-stories, containing a total of 200 dwelling units, ground floor retail/commercial space, 103 bicycle parking spaces, 2-car share spaces and 93 off-street parking spaces.",,220,220,0,0,9900,9900,0,0,0,0,0,5471,5471,0,0,0,0,0,,,DOWNTOWN- GENERAL,C-3-G,120-R-2,South of Market,Mission,SUPERVISORIAL DISTRICT 6,CASE TRACKING,TCHANG,July 17 2014,,,,FILED,February 11 2015,,,"(37.77204073220, -122.41876324800)"
PL FILED,04/23/2014,150 VAN NESS AVE,2013.0973,,,814001,Mixres,"The proposed project is a 13 story, 429 unit residential bldg. on Hayes Street between Van Ness Avenue and Polk Street. The project would contain 512,010 gsf, including 410,760 sf of residential, 90,600 of subsurface parking and 9,000 sf of retail on the",,429,429,0,0,9000,0,0,0,0,9000,0,-127558,0,0,-136558,0,9000,0,,,DOWNTOWN- GENERAL,C-3-G,120-R-2,Downtown/Civic Center,Downtown,SUPERVISORIAL DISTRICT 6,CASE TRACKING,GMOSQUER,October 25 2013,Marc Babsin,Marc Babsin,415-489-1313,,,,,"(37.77730065810, -122.41829544500)"
BP FILED,04/30/2014,57 TEHAMA ST,,201404304554,,3736078A,Resident,,"TO ERECT 35 STORIES, 3 BASEMENT, 418 RESIDNETIAL UNITS WITH MIX USED & PARKING BUILDING. (R-2,B,A-3,",403,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),C-3-O(SD),360-S,Financial District,South of Market,SUPERVISORIAL DISTRICT 6,CASE TRACKING,JKUGLER,,Birmingha,During As,415 986-0,,,,,"(37.78739474860, -122.39609331300)"
BP FILED,12/17/2013,1979 MISSION ST,2013.1543,201312174382,APARTMENTS,3553052,Resident,"Proposes to demolish all existing improvements on the project site and to contruct a 5 to 10 story up to 105' high, 345,013 sq.ft. building exclusive of a 56,643 sq.ft. basement parking garage. Off-street parking that meets the Planning Code requirements",ERECT 10-STORY MIXED-USE NEW BUILDING.,351,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,NCT,55-X,Mission,Mission,SUPERVISORIAL DISTRICT 9,PERMIT TRACKING,DVU,,,,,,,,,"(37.76558137550, -122.41912306800)"
PL FILED,10/10/2013,800 INDIANA STREET,2011.1374,,,4105009,Resident,The proposed project is the demolition of the existing Opera Warehouse and construction of a new 340-unit multi-family units and 294 parking spaces. The project would be constructed in six building with a semi subterraen parking garage.,,340,340,0,0,0,0,0,0,0,0,0,-78240,0,0,0,-78240,0,0,,,URBAN MIXED USE,UMU,58-X,Potrero Hill,South of Market,SUPERVISORIAL DISTRICT 10,CASE TRACKING,RSUCRE,October 10 2013,Lou Vasquez,Joe Kirchofer,415-284-9080,,February 01 2012,,,"(37.75919640330, -122.39172904700)"
PL FILED,11/19/2013,950 MARKET ST,2013.1049,,,342001,Mixres,"The proposed project is the demolition of five (5) existing structures and new construction of a mixed-use arts, education, residential, hotel, and retail complex, with approximately 198 below-grade parking spaces.  The proposed project includes approxim",,316,305,0,0,229000,0,0,24000,0,15000,190000,169834,0,0,24000,0,-6321,152155,,,DOWNTOWN- GENERAL,C-3-G,120-X,Downtown/Civic Center,Downtown,SUPERVISORIAL DISTRICT 6,CASE TRACKING,MHUE,November 19 2013,Michelle  Lin,Michelle  Lin,394-9018,,,,,"(37.78317543390, -122.40956831600)"
PL FILED,06/18/2014,1066 MARKET ST,2013.1753,,,350003,Mixres,"The proposed project is the demolition of existing 2-story commercial building and parking lot and new construction of a 14-story building to house approximately up to 330 residential units, approximately 1,885 sq.ft. of retail on Market Street, approxim",,304,304,0,0,4540,0,0,0,0,4540,0,-526,0,0,0,0,-526,0,,,DOWNTOWN- GENERAL,C-3-G,120-X,Downtown/Civic Center,Downtown,SUPERVISORIAL DISTRICT 6,CASE TRACKING,IWILSON,June 18 2014,Thomas Hart,Thomas Hart,772-7000,,,,,"(37.78179900770, -122.41174159000)"
PL FILED,06/04/2014,50 01ST ST,2006.1523,,,3708006,Mixres,"The project site consist of three undeveloped lots and four buildings ranging from five to seven stories, totaling approx. 251,000 sq. ft. of office, retail, and commercial uses. There are no off-street parking or loading on the site. The proposed projec",,292,292,0,0,1970000,0,0,1050000,0,310000,610000,1704000,0,0,806000,0,288000,610000,,,DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),C-3-O(SD),850-S-2,Financial District,Downtown,SUPERVISORIAL DISTRICT 6,CASE TRACKING,KGUY,December 21 2006,Mark Solit,Joel Yodowitz,415 567-9000,,,,,"(37.78990468770, -122.39832080100)"
PL FILED,09/16/2013,1301 16TH STREET,2013.0698,,,3954016,Resident,"The proposed project would involve demolition of an existing one-story warehouse and construction of a new 7-story, residential building.  The building would consist of 7 residential levels with 276 units, ground floor parking and mechanical spaces. The",,276,276,0,0,0,0,0,0,0,0,0,-38600,0,0,0,-38600,0,0,,,URBAN MIXED USE,UMU,68-X,Potrero Hill,South of Market,SUPERVISORIAL DISTRICT 10,CASE TRACKING,CTEAGUE,September 16 2013,William Mollard,William Mollard,409-9267,,August 05 2013,,,"(37.76584514460, -122.40023935500)"
PL FILED,07/17/2012,1634-1690 PINE ST,2011.1306,201312184508,,647007,Mixres,"1) Merge the six exiting assessor's lots, 2) demolish the existing five industrial/comercial bldgs. on the site and possibly maintain/incorporate some of the existing bldgs. facades into the new project and 3) construct a residential bldg. with some comm",,260,260,0,0,4886,0,0,0,0,4886,0,6666,0,0,0,0,6666,0,,,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",NC-3,130-E,Western Addition,Western Addition,SUPERVISORIAL DISTRICT 2,CASE TRACKING,SSANCHEZ,September 28 2007,AIS,AIS,415.215.6,,April 03 2007,CANCELLED,December 10 2002,"(37.78959297530, -122.42295080900)"
BP FILED,10/03/2014,410 HEARST AV,,201410038023,1 FAMILY DWELLING,3116006A,Resident,,TO ERECT 2 STORIES OF 1 FAMILY DWELLING,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, ONE FAMILY",RH-1,40-X,Outer Mission,Ingleside,SUPERVISORIAL DISTRICT 7,PERMIT TRACKING,,,,,,,,,,"(37.73086240100, -122.44698655800)"
PL FILED,01/13/2014,1395 22nd St,2011.0671,,,4167011,Resident,"The proposed project includes the construction of a mixed-use building with 251 dwelling units, 29,780 sq.ft of PDR, and 205 off-street parking spaces.",,251,251,0,0,72856,0,0,0,0,0,0,72856,0,0,0,0,0,0,,,"PRODUCTION, DISTRIBUTION & REPAIR - 1 - GENERAL",PDR-1-G,40-X,Potrero Hill,South of Market,SUPERVISORIAL DISTRICT 10,CASE TRACKING,BFU,January 13 2014,Redmond Lyons,Redmond Lyons,415-810-3791,,,,,"(37.75620342330, -122.39359366900)"
PL FILED,06/10/2004,1800 MISSION ST,2014.0154,,,3547001,Resident,Rehabilitate existing historic Armory building into 207 dwelling units.,,207,207,0,0,0,0,0,0,0,0,0,-196800,0,0,0,-196800,0,0,,,URBAN MIXED USE,UMU,68-X,Mission,Mission,SUPERVISORIAL DISTRICT 9,manual,WHASTIE,June 10 2004,Brett Gladstone,Brett Gladstone,415-434-9500,,,,,"(37.76781719590, -122.42057533500)"
BP FILED,09/11/2014,1095 MARKET ST,,201409116118,TOURIST HOTEL/MOTEL,3703059,Resident,,CHANGE OF OCCUPANCY FROM OFFICE TO HOTEL. NEW 202 HOTEL ROOMS. NEW ROOF DECK. ADD NEW STORY WITHIN (,202,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,DOWNTOWN- GENERAL,C-3-G,90-X,South of Market,Downtown,SUPERVISORIAL DISTRICT 6,PERMIT TRACKING,CGROB,,,,,,,,,"(37.78032868840, -122.41201361100)"
PL FILED,04/04/2012,1200 17TH STREET,2011.13,,,3949001,Mixres,"The proposed project will demolish metal warehouses and temporary office buildings; preserve and rehabilitate brick office building; lot line adjustment to create two lots, construct approximately 200 residential units in 4-story building on 17th Street;",,200,200,0,0,175513,0,0,148613,0,26900,0,66013,0,0,144113,-105000,26900,0,,,URBAN MIXED USE,UMU,68-X,Potrero Hill,South of Market,SUPERVISORIAL DISTRICT 10,CASE TRACKING,WWIETGRE,April 04 2012,Attn: Indrajit Obeysekere,Jay Murphy,415-833-1231,,March 28 2012,,,"(37.76612470790, -122.39547306100)"
PL FILED,01/13/2012,75 HOWARD ST,2011.1122,,,3741031,Mixres,Proposes to demolish the existing 8 -story parking garage (containing 550 parking spaces). The project would construct a residential bldg. containing 175 residential units and a below-grade parking garage. The parking garage would contain accessory parki,,186,186,0,0,17900,0,0,0,0,17900,0,17900,0,0,0,0,17900,0,,,DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),C-3-O(SD),200-S,Financial District,South of Market,SUPERVISORIAL DISTRICT 6,CASE TRACKING,DLEWIS,January 13 2012,Jim Abrams,Jim Abrams,415 393 8370,,,,,"(37.79155787850, -122.39167149900)"
BP FILED,07/18/2014,647 DUNCAN ST,,201407181635,1 FAMILY DWELLING,6604038,Resident,,"ERECT 3 STORIES , ONE SINGLE FAMILY.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, ONE FAMILY",RH-1,40-X,Noe Valley,Central,SUPERVISORIAL DISTRICT 8,PERMIT TRACKING,,,,,,,,,,"(37.74540189790, -122.43433147700)"
PL FILED,04/29/2014,1028 MARKET ST,2014.0241,,CLUB,350002,Mixres,"The property is currently improved by a vacant two-story structure.  The project would demolish the existing 2-story commercial building and construct a 13-story mixed use building with 12 floors of residential use above ground floor retail, as well as t",,186,186,0,0,9675,0,0,0,0,9675,0,9675,0,0,0,0,9675,0,,,DOWNTOWN- GENERAL,C-3-G,120-X,Downtown/Civic Center,Downtown,SUPERVISORIAL DISTRICT 6,CASE TRACKING,DDWYER,April 29 2014,Sally Maxwell,Sally Maxwell,883-0133,,,,,"(37.78188348190, -122.41132333400)"
PL FILED,02/27/2009,1540 MARKET ST,2009.0159,,,836002,Mixres,"Construction of two buildings: one residential tower building, 400' in height, with 180-du and 50 parking spaces, and one 24-ft wide building, 65' in height, connected by pedestrian bridge at the third floor.  Demo of existing four-story commercial build",,180,180,0,0,34091,0,0,15281,0,18810,0,-13252,0,0,-22827,0,9575,0,,,DOWNTOWN- GENERAL,C-3-G,120/400-R-2,Downtown/Civic Center,Buena Vista,SUPERVISORIAL DISTRICT 5,CASE TRACKING,CROOS,February 27 2009,Richard Johnson,Andrew Junius,415 567 9000,,,,,"(37.77521496080, -122.41960726000)"
PL FILED,06/12/2014,2070 BRYANT ST,2013.0677,,,4022001,Resident,"The proposed project is the demolition of the 50,000 sf warehouse building at 2070 Bryant Street and construction of a new 6-story residential building with garage parking using conventional parking and parking stackers. The proposed project would constr",,177,177,0,0,0,0,0,0,0,0,0,-50000,0,0,0,-50000,0,0,,,URBAN MIXED USE,UMU,68-X,Mission,Mission,SUPERVISORIAL DISTRICT 9,CASE TRACKING,RSUCRE,June 12 2014,Nick Podell,Linsey Perlov,415-296-8800,,,,,"(37.76149953700, -122.41058132900)"
PL FILED,12/18/2013,1125 MARKET ST,2013.0511,,,3702047,Mixres,"Construction of a 12-story,100,422 sf bldg containing 164 dwelling units, 3,005 sf of ground-floor retail, and 47 parking spaces.",,164,164,0,0,3005,0,0,0,0,3005,0,3005,0,0,0,0,3005,0,,,DOWNTOWN- GENERAL,C-3-G,120-X,South of Market,Downtown,SUPERVISORIAL DISTRICT 6,CASE TRACKING,TBLOMGRE,December 18 2013,Maritz Pr,Patri Mer,415.284.1,,,,,"(37.77975627180, -122.41273619800)"
PL FILED,02/11/2009,950 MASON STREET,2008.0081,,,244001,Mixres,"Fairmont Hotel tower/base demo and rebuild to similar bldg envelope, with additional mid-rise, resulting in 160,000-gsf net new, +160 condominiums, -200 hotel rooms, total 965,000-gsf.",,160,160,0,0,310000,0,0,0,0,55000,255000,-295000,0,0,0,0,5000,-300000,,,"RESIDENTIAL- MIXED, HIGH DENSITY",RM-4,300-E-2,Nob Hill,Northeast,SUPERVISORIAL DISTRICT 3,CASE TRACKING,TFRYE,February 11 2009,Heather Turner,Lucian Robert Blazej,415 695-1111,,,,,"(37.79242535220, -122.41009254900)"
PL FILED,03/25/2015,88 ARKANSAS ST,2015-000453PRJ,,,3953002,Mixres,Priority Processing application for both Affordable Housing and LEED Platinum.  The proposed project at 88 Arkansas Street proposes to demolish two existing single-story buildings on separate lots in order to build a new five story 127-unit Type 1 reside,,146,146,25,25,3275,3275,0,0,0,0,0,3275,3275,0,0,0,0,0,,,URBAN MIXED USE,UMU,48-X,Potrero Hill,South of Market,SUPERVISORIAL DISTRICT 10,CASE TRACKING,KCONNER,January 14 2015,"Fifth Historic Properties, LLC/Mart",Julie Heinzler,415-348-4644,FILED,March 25 2015,,,"(37.76535613160, -122.39904772400)"
PL FILED,01/28/2015,1515 SOUTH VAN NESS AVENUE,2014.102,,,6571001,Mixres,"Demolition of existing commercial building and construction of a 160 unit rental apartment home community with 1,440 sf retail within a building measuring 65' along S. Van Ness and stepping down to 55' along Shotwell Street.  Lennar intends to accommodat",,145,145,20,20,1024,0,0,0,0,1024,0,-30656,0,0,-31680,0,1024,0,,,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,NCT,55-X,Mission,Mission,SUPERVISORIAL DISTRICT 9,CASE TRACKING,DVU,December 03 2014,,,,FILED,January 28 2015,,,"(37.74902745460, -122.41499508600)"
PL FILED,10/16/2013,1140 FOLSOM STREET,2013.0986,,,3730015,Mixres,"The proposed project would remove the existing 14, 581 square feet building and parking lot and replace them with a new residential building over commercial.  Design high efficiency parking with BMR units on site. The proposed project would construct a 4",,128,128,0,0,5500,0,0,0,0,5500,0,-9081,0,0,0,0,-9081,0,,,FOLSOM STREET NEIGHBORHOOD COMMERCIAL TRANSIT,NCT,65-X,South of Market,South of Market,SUPERVISORIAL DISTRICT 6,CASE TRACKING,RSUCRE,October 16 2013,John Bickford,John Bickford,675-2169,,October 04 2013,,,"(37.77623838020, -122.40895221600)"
PL FILED,03/19/2014,1298 HOWARD STREET,2014.0011,,,3728019,Mixres,"The proposed project would contain 121 residential units, 10,050 sq.ft. of flex office/retail space.  Also proposed is a pedestrian alley connecting Howard and Natoma Streets.  The design of the project embraces the intent of Western SOMA zoning, respect",,121,121,0,0,10050,0,0,10050,0,0,0,10050,0,0,10050,0,0,0,,,RESIDENTIAL ENCLAVE-MIXED,RED-MX,45-X,South of Market,Downtown,SUPERVISORIAL DISTRICT 6,CASE TRACKING,DVU,March 19 2014,John Kevlin,John Kevlin,415.567.9000,,February 28 2014,,,"(37.77562857860, -122.41277867600)"
PL FILED,02/12/2014,1075 MARKET ST,2013.169,,,3703062,Mixres,"The project sponsor proposes to demolish the existing commercial building (former adult entertainment complex) and replace with a new 8-story mixed use (retail and residential) building with approximately 7,500 sf of retail space, 99 units and 24 parking",,90,90,0,0,7500,0,0,0,0,7500,0,-15500,0,0,0,0,-15500,0,,,DOWNTOWN- GENERAL,C-3-G,90-X,South of Market,Downtown,SUPERVISORIAL DISTRICT 6,CASE TRACKING,,February 12 2014,Robert Huggins,Robert Huggins,561-0600,,,,,"(37.78064421540, -122.41161520200)"
PL APPROVED,07/17/2014,325 FREMONT ST,2012.1025,,APARTMENTS,3747012,Resident,"The proposed project would construct a 250-foot tall residential tower , containing 119 dwelling units and 61 off-street parking spaces.  The current planning is for resident parking below grade; lobby, bike parking and handicap parking at street level;",,119,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,RINCON HILL DOWNTOWN RESIDENTIAL,RH DTR,85/250-R,South of Market,South of Market,SUPERVISORIAL DISTRICT 6,CASE TRACKING,RSUCRE,May 02 2013,Steve Vettel,Steve Vettel,268-6171,Approved,July 17 2014,,,"(37.78777143720, -122.39294660100)"
PL APPROVED,08/29/2014,377 06TH ST,2014.0832,,,3753148,Mixres,"The proposed project is to demolish the existing gas station and construct a new 8-story, 85-foot tall, 96,225-square-foot residential building with ground-floor retail.  The existing 1,610-square-foot building on the 12,990 square foot lot was construct",,116,116,0,0,4520,0,0,0,0,4520,0,4520,0,0,0,0,4520,0,,,MIXED USE-RESIDENTIAL,MUR,85-X,South of Market,South of Market,SUPERVISORIAL DISTRICT 6,CASE TRACKING,DVU,October 09 2014,"Nakash Enterprises, LLC",Will  Mollard,415-523-0304,Approved,August 29 2014,,,"(37.77766408720, -122.40415709900)"
PL FILED,05/11/2015,950 GOUGH ST,2012.0506,,,74410,Mixres,"Mixed-use building comprised of 100 residential dwelling units, church and community space, 73 space parking garage and courtyard.",,100,100,0,0,127203,9701,0,0,0,0,0,127203,9701,0,0,0,0,0,,,"RESIDENTIAL- MIXED, HIGH DENSITY",RM-4,80-B,Downtown/Civic Center,Western Addition,SUPERVISORIAL DISTRICT 5,manual,SLAI,,,,,,,,,"(37.78222256710, -122.42376594500)"
BP ISSUED,05/12/2015,923 FOLSOM STREET,2012.1333,201311202410,,3753106,Mixres,"The proposed project would include demolition of an existing 3,750 sq.ft., 3-story commercial office building related to MTR Western Sus Station and consturction of the site to a 4 and 8-story, 114 unit mixed-use residential building with approximately 1",ERECT 9 STORIES OF 115 DWELLING UNITS. MIX USE,115,115,0,0,1800,0,0,0,0,1800,0,-1950,0,0,-3750,0,1800,0,,,MIXED USE-RESIDENTIAL,MUR,45-X,South of Market,South of Market,SUPERVISORIAL DISTRICT 6,CASE TRACKING,BFU,May 23 2013,Christopher Davenport,Christopher Davenport,925 309-2503,,,ISSUED,May 12 2015,"(37.77960930410, -122.40338078100)"
PL FILED,03/25/2015,PARCEL O,2015-002837PRJ,,,831024,Resident,"The proposed project is to construct a 6 story building with 100% affordable housing development financed by the Mayor's Office of Housing. The project is 112 residential units, 2,100 sf of retail space, 1,470 sf of office space with no vehicle parking.",,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,RESIDENTIAL TRANSIT ORIENTED DISTRICT,RTO,40-X,Western Addition,Western Addition,SUPERVISORIAL DISTRICT 5,CASE TRACKING,KGUY,March 06 2015,Mercy Housing California,Tim Dunn,415-355-7113,FILED,March 25 2015,,,"(37.77535592710, -122.42537434500)"
PL FILED,02/25/2013,651 GEARY ST,2013.0212,,,318020,Mixres,"Demolish an existing 2-story vacant office building, and construct a new 13-story residential building with 1,100 sq.ft. retail space at ground floor.",,46,46,0,0,5945,0,0,0,0,5945,0,-8010,0,0,-13955,0,5945,0,,,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",RC-4,80-T-130-T,Downtown/Civic Center,Downtown,SUPERVISORIAL DISTRICT 6,manual,TCHAN,August 15 2008,Career Re,Structura,650-588-4,,,Approved,July 24 2003,"(37.78634415190, -122.41395546800)"
PL APPROVED,10/16/2013,888 TENNESSEE ST,2013.0975,,,4060001,Mixres,"The proposed project is the demolition of an existing two-story building and construction of two four-story residential-over-retail building containing 110 dwelling units, 2,155 sq.ft. of retail use, and 10,073 sq.ft. of courtyard open space.  The projec",,110,110,0,0,2155,0,0,0,0,2155,0,-36365,0,0,0,-38520,2155,0,,,URBAN MIXED USE,UMU,45-X,Potrero Hill,South of Market,SUPERVISORIAL DISTRICT 10,CASE TRACKING,RSUCRE,December 03 2013,Andrew Junius,Andrew Junius,415 567 9000,Approved,October 16 2013,,,"(37.76076626460, -122.38998466700)"
