,Unnamed: 0,actdate,action,action_seq,address,aff,aff_dec,affnet,affordab_1,affordable,affordable_net,affordablenet,alias,apn,best_date,best_stat,beststat_group,block,bpapplno,building_type_id,caseno,centralsoma,cie,cie_existing,cie_net,cie_proposed,cienet,classified_neighborhood,contact,contactadd,contactcity,contactph,contactphone,cost,cult_inst_educ,dbi_actdate,dbi_action,dbi_filed,dbi_permit,dbi_permit_id,dbi_project_description,dbidesc,decdate,decision,descript,district,districtname,dname,entitled,entitlement,entitlementstatus,filedate,first_project_record_date,firstfiled,fullname,geography,height,height_lim,heightlimit,heightnum,industrial_existing,industrial_net,industrial_proposed,landuse,latest_project_record_date,latest_project_status,location,lot,med,medical,medical_existing,medical_net,medical_proposed,mednet,mips,mipsnet,neighborhood,net_added_sf,net_added_units,net_cult_inst_educ,net_gsf,net_medical,net_office,net_prod_dist_rep,net_ret_ent,net_visitor,new_rehab,objectid,office,office_existing,office_net,office_proposed,original_data_file,parking,parkingnet,pda,pdr,pdrnet,planarea,plandistrict,planner,planning_filed,planning_id,planning_project_description,planningdistrictscombo,pln_review,pln_reviewdate,plndesc,plndistrict,prod_dist_rep,project_dates,project_duration_days,project_statuses,propuse,report_quarter,report_year,ret,ret_ent,retailcomm_existing,retailcomm_net,retailcomm_proposed,retnet,sitearea,sizecat,sort,source,sponsor,sponsor_firm,sponsor_name,standardaddress,status_group,statusgroup,supdist,supedist,taz,tempselect,total_gsf,total_gsf_commercial,totalsqftestim,traffic_analysis_zone,units,unitsnet,visit,visitnet,visitor,visitor_existing,visitor_net,visitor_proposed,x,y,zonename,zoning,zoning_gen,zoning_generalized,zoning_sim,zoning_simplified,zoningdistrictname
12002,12002,,,,94112,,,,,0.0,,0.0,,APN 7044A006,2009-11-18,PL FILED,,,200804159728.0,,2009.0812,,0.0,,,,0.0,Outer Mission,,,,,,,,,,,,,,to erect 6 dwelling units with 2 story new bldg; to demolish 5 dwelling units with retail space,,,,,,,0.0,,,,2009-11-18,04/15/2008,,,40-X,,,,,,,Resident,2009-11-18,PL FILED,"94112
(37.71291432320, -122.44482641100)",,0.0,,,,,0.0,0.0,0.0,Outer Mission,,,,0.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_3.csv,,,,0.0,0.0,,South Central,,,,,,,,Demolition and contruct new mixed use 3-story building with 6 residential units and bottom floor commercial.,,,"('2009-11-18',)",0.0,"('PL FILED',)",APARTMENTS,3,2015,0.0,,,,,0.0,,,,PERMIT TRACKING,,,,,,,,SUPERVISORIAL DISTRICT 11,,,0.0,,,,6.0,1.0,0.0,0.0,,,,,37.7129143232,-122.44482641100001,EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT,,,,NCD,,
14820,14820,,,,6424 3RD ST / 1088 KEY AV,,,,,0.0,0.0,,,APN 5470002,2015-12-31,PL FILED,,,201512316257.0,,2014.1058,,,0.0,0.0,0.0,,Bayview Hunters Point,Victor Quan,,,531-8311,,$0.00,,,,,,,,TO ERECT 4 STORIES OF 17 DWELLING UNITS WITH COMMERCIAL ON GROUND FLOOR - MAHER ORDINANCE - EXTENDED,,,,South Bayshore,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",,,,0.0,,2015-12-31,07/03/2014,,,,,40-X,,0.0,0.0,0.0,Mixres,2015-12-31,PL FILED,"(37.7198496609, -122.397168)",,,,0.0,0.0,0.0,,,,Bayview,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,Bayview Hunters Point,,SMENDRIN,,,,,,,"Demolish 1.5 story commercial structure, currently used as a funeral home, and construct four-story building with 17 residential units over 2,121 sf retail and 17 parking spaces on ground floor.",,,"('2015-12-31', '2015-12-31')",0.0,"('PL FILED', 'PL FILED')",APARTMENTS,1,2016,,,3600.0,-1479.0,2121.0,,,,,,Victor Quan,,,,,,SUPERVISORIAL DISTRICT 10,,,,,,,,17.0,17.0,,,,0.0,0.0,0.0,37.7198496609,-122.397168,,NC-3,,,,,
11392,11392,,,,94122,,,,,0.0,,0.0,,APN 1841007,2013-01-28,BP FILED,,,201301288928.0,,,,0.0,,,,0.0,Inner Sunset,,,,,,,,,,,,,,TO COMPLY WITH NOV 201281241 OF VIOLATION. COMPLIANCE/FIRE/EGRESS. ESTABLISHING 1ST FLOOR UNIT. LEGA,,,,,,,0.0,,,,2013-01-28,01/28/2013,,,40-X,,,,,,,Resident,2013-01-28,BP FILED,"94122
(37.76119008830, -122.46966471500)",,0.0,,,,,0.0,0.0,0.0,Inner Sunset,,,,0.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_3.csv,,,,0.0,0.0,,Inner Sunset,,,,,,,,,,,"('2013-01-28',)",0.0,"('BP FILED',)",2 FAMILY DWELLING,3,2015,0.0,,,,,0.0,,,,PERMIT TRACKING,,,,,,,,SUPERVISORIAL DISTRICT 7,,,0.0,,,,2.0,1.0,0.0,0.0,,,,,37.7611900883,-122.469664715,"RESIDENTIAL- HOUSE, TWO FAMILY",,,,RH-2,,
13302,13302,,,,80 OLIVER ST,,,,0.0,0.0,,,,APN 6472075,2014-10-02,BP FILED,,,201410027943.0,,,,0.0,,,,0.0,Excelsior,,,,,,,,,,,,,,NEW UNIT @ GROUND FLOOR. 2 STORIES HORIZONTAL ADDITION @ REAR. ADD 2 BEDROOMS & 3 BATHROOMS & MEDIA,,,,South Central,"RESIDENTIAL- HOUSE, ONE FAMILY",,0.0,,,,2014-10-02,10/02/2014,,"(37.70848732580, -122.45023834300)",40-X,,,,,,,Resident,2014-10-02,BP FILED,,,0.0,,,,,0.0,0.0,0.0,Crocker Amazon,,,,0.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_4.csv,,,,0.0,0.0,,,,,,,,,,,,,"('2014-10-02',)",0.0,"('BP FILED',)",2 FAMILY DWELLING,4,2015,0.0,,,,,0.0,,,,PERMIT TRACKING,,,,,,,SUPERVISORIAL DISTRICT 11,,,,0.0,,,,2.0,1.0,0.0,0.0,,,,,37.7084873258,-122.450238343,,,,,RH-1,,
7684,7684,,,,461 HOFFMAN AV,,,,,,,,,6503020,2014-09-10,CONSTRUCTION,Construction,,,,,,,,,,,Noe Valley,,450 Clementina Street,"San Francisco, CA  94103",,546-0450,,,,,15-Dec-10,201012156796,,DEMO EXISTING REAR YARD ADDITION. BUILD NEW REAR YARD ADDITION. ADD 2ND DWELLING UNIT @ GROUND FLOOR,,,,,,,,,,-1,,2014-09-10,09-Dec-10,Richard Parker 546-0450,,,,40-X,40.0,,,,Resident,2014-09-10,CONSTRUCTION,"461 Hoffman Av
(37.749944900000003, -122.440202)",,,,,,,,,,Central,0.0,1.0,,,,,,,,,4303.0,,,,,data/raw/San_Francisco_Development_Pipeline_2014_Quarter_3.csv,,,,,,,,,09-Dec-10,2010.1098,Off street parking variance to add a second dwelling unit without providing a required off-street parking space,Central,,,,,,"('2012-03-28', '2012-06-20', '2012-06-20', '2013-04-12', '2013-06-03', '2013-09-16', '2013-11-26', '2014-03-14', '2014-06-25', '2014-09-10')",0.0,"('BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",,3,2014,,,,,,,,,,,,450 Architects,Richard Parker,,,,,,477.0,,,0.0,3510.0,,2.0,,,,,,,,37.749944899999996,-122.440202,,RH-2,,Residential,,RH-2,
11843,11843,,,,94109,,,,,0.0,,0.0,,APN 0550004,2007-07-02,BP FILED,,,200707025741.0,,,,0.0,,,,0.0,Russian Hill,,,,,,,,,,,,,,ADD 1 STORY TO MAKE 1 ADDITIONAL RESIDENTIAL UNIT. ADD STRUCUTRAL BRACING ON GROUND FLOOR RESTAURANT,,,,,,,0.0,,,,2007-07-02,07/02/2007,,,65-A,,,,,,,Resident,2007-07-02,BP FILED,"94109
(37.79748612070, -122.42234810800)",,0.0,,,,,0.0,0.0,0.0,Russian Hill,,,,0.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_3.csv,,,,0.0,0.0,,Northeast,,,,,,,,,,,"('2007-07-02',)",0.0,"('BP FILED',)",2 FAMILY DWELLING,3,2015,0.0,,,,,0.0,,,,PERMIT TRACKING,,,,,,,,SUPERVISORIAL DISTRICT 3,,,0.0,,,,2.0,1.0,0.0,0.0,,,,,37.7974861207,-122.422348108,POLK STREET NEIGHBORHOOD COMMERCIAL,,,,NCD,,
9637,9637,,,,724 BRANNAN ST,0.0,,0.0,,,,,,3779132,2015-02-04,BP FILED,,,201502047533.0,,2015-002622PRJ,,0.0,,,,0.0,South of Market,FIFTH HISTORIC PROPERTIES LLC,,,,,,,,,,,,,CHANGE OF USE. CONVERT PORTIONOF 724 BRANNAN FROM AUTO REPAIR & STORAGE INTO RETAIL SALES & SERVICE.,,,,South of Market,SERVICE/ARTS/LIGHT INDUSTRIAL,,,,,,2015-02-04,,,"(37.77451416740, -122.40211087000)",40/55-X,,,,,,,Retail/Ent,2015-02-04,BP FILED,,,0.0,,,,,0.0,0.0,0.0,South of Market,,,,0.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_1.csv,,,,0.0,0.0,,,KDURANDE,,,,,,,,,,"('2015-02-04',)",0.0,"('BP FILED',)",HEALTH STUDIOS & GYM,1,2015,0.0,,,,,0.0,,,,PERMIT TRACKING,,,,,,,SUPERVISORIAL DISTRICT 6,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,37.7745141674,-122.40211087,,,,,SALI,,
12470,12470,,,,94108,,,,,0.0,,0.0,,APN 0191008A,2015-05-20,PL FILED,,,,,2015-006347PRJ,,0.0,,,,-450.0,Chinatown,SACARDUS PROPERTIES LLC,,,415-812-7648,,,,,,,,,,,,,,,,,0.0,,,,2015-05-20,05/20/2015,,,65-A,,,,,,,Retail/Ent,2015-05-20,PL FILED,"94108
(37.79482861790, -122.41029829100)",,0.0,,,,,0.0,0.0,0.0,Nob Hill,,,,0.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_3.csv,,,,0.0,0.0,,Northeast,ABRASK,,,,,,,Change of use from existing non-residential use to a new Restaurant.,,,"('2015-05-20',)",0.0,"('PL FILED',)",,3,2015,450.0,,,,,450.0,,,,CASE TRACKING,,,,,,,,SUPERVISORIAL DISTRICT 3,,,450.0,,,,0.0,0.0,0.0,0.0,,,,,37.7948286179,-122.410298291,"RESIDENTIAL- MIXED, MEDIUM DENSITY",,,,RM-3,,
14689,14689,,,,483 FAXON AV,,,,,0.0,0.0,,,APN 6939001B,2016-02-17,BP FILED,,,201602179855.0,,2016-002751PRJ,,,0.0,0.0,0.0,,Oceanview/Merced/Ingleside,,,,,,$1.00,,,,,,,,"REVISION TO PERMIT 201412304759 PER UNIT LEGALIZED ORDINANCE 43-14, LEGALIZE KITCHEN.",,,,Ingleside,"RESIDENTIAL- HOUSE, ONE FAMILY",,,,0.0,,2016-02-17,02/17/2016,,,,,40-X,,0.0,0.0,0.0,Resident,2016-02-17,BP FILED,"(37.7233354284, -122.460438)",,,,0.0,0.0,0.0,,,,Ocean View,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,,,,,,,,,,,,,"('2016-02-17',)",0.0,"('BP FILED',)",2 FAMILY DWELLING,1,2016,,,0.0,0.0,0.0,,,,,,,,,,,,SUPERVISORIAL DISTRICT 7,,,,,,,,2.0,1.0,,,,0.0,0.0,0.0,37.7233354284,-122.46043799999998,,RH-1,,,,,
14062,14062,,,,835 LOMBARD ST,,,,,0.0,0.0,,,APN 0073020,2009-02-18,BP FILED,,,200902182284.0,,,,,0.0,0.0,0.0,,Russian Hill,,,,,,$50000.00,,,,,,,,Convert 2-unit bldg. to 3-unit bldg. w/o enlarging bldg. Add 1-car parking space @ front driveway ar,,,,Northeast,"RESIDENTIAL- MIXED, LOW DENSITY",,,,0.0,,2009-02-18,02/18/2009,,,,,40-X,,0.0,0.0,0.0,Resident,2009-02-18,BP FILED,"(37.8022612799, -122.415252)",,,,0.0,0.0,0.0,,,,Russian Hill,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,,,,,,,,,,,,,"('2009-02-18', '2009-02-18', '2009-02-18')",0.0,"('BP FILED', 'BP FILED', 'BP FILED')",APARTMENTS,1,2016,,,0.0,0.0,0.0,,,,,,,,,,,,SUPERVISORIAL DISTRICT 3,,,,,,,,3.0,1.0,,,,0.0,0.0,0.0,37.802261279899994,-122.415252,,RM-1,,,,,
10185,10185,01/01/42199 12:00:00 AM,SITE VERIFICATI,,45 LANSING ST,,,,,0.0,,0.0,Jasper,APN 3749059,2015-07-14,CONSTRUCTION,,,201009140800.0,,2004.0481,,0.0,,,,0.0,Financial District,James A. Reuben,,,567-9000,,,,,,,,,,"TO ERECT 40 STORIES, 224 UNITS RESIDENTIAL & MIXED USE BUILDING.",01/01/41507 12:00:00 AM,Approved,"Demolition of an existing building and construction of a 400-foot mixed-use building with 305 dwelling units, 280 off-street parking spaces, and 1,000 GSF of ground floor retail use.",,RINCON HILL DOWNTOWN RESIDENTIAL,D6,,,-1,05/19/2004,2015-07-14,,,"(37.78587343080, -122.39374874100)",,65/400-R,,,,,,Resident,2015-07-14,CONSTRUCTION,,,0.0,,,,,0.0,0.0,-15000.0,South of Market,,,,-14000.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_2.csv,280.0,280.0,,0.0,0.0,Rincon Hill,,JKUGLER,,,,,,,,South of Market,,"('2015-07-14',)",0.0,"('CONSTRUCTION',)",APARTMENTS,2,2015,0.0,,,,,1000.0,,,,CASE TRACKING,Ezra Mersey,,,,,,,,,,0.0,,,,320.0,320.0,0.0,0.0,,,,,37.7858734308,-122.39374874100001,,,,,RH DTR,,
