APN,NAMEADDR,BESTSTAT,BESTDATE,CASENO,BPAPPLNO,PROPUSE,NEW_REHAB,Alias,LANDUSE,DESCRIPT,DBIDESC,UNITS,UNITSNET,AFFORDABLE,AFFORDABLENET,EntitlementStatus,PARKING,PARKINGNET,TOTAL_GSF,NET_GSF,CIE,CIENET,MED,MEDNET,MIPS,MIPSNET,PDR,PDRNET,RET,RETNET,VISIT,VISITNET,FILEDATE,PLANNER,SPONSOR,CONTACT,CONTACTPH,DECISION,DECDATE,ACTION,ACTDATE,SOURCE,SupeDistrict,PLANAREA,PLNDISTRICT,NEIGHBORHOOD,ZONING_SIM,DISTRICTNAME,HEIGHT_LIMIT,X,Y,geography
APN 0814001,150 VAN NESS AVE,PL FILED,04/23/2014,2013.0973,,,N,,Mixres,"The proposed project is a 13 story, 429 unit residential bldg. on Hayes Street between Van Ness Avenue and Polk Street. The project would contain 512,010 gsf, including 410,760 sf of residential, 90,600 of subsurface parking and 9,000 sf of retail on the",,429,429,0,0,0,215,116,9000,-127558,0,0,0,0,0,-136558,0,0,9000,9000,0,0,10/25/2013,GMOSQUER,Marc Babsin,Marc Babsin,415-489-1313,,,,,CASE TRACKING,D6,Market and Octavia; Downtown,Downtown,Downtown/Civic Center,C-3-G,DOWNTOWN- GENERAL,120-R-2,-122.418295445,37.7773006581,"(37.77730065810, -122.41829544500)"
APN 3756003,350 08TH ST,CONSTRUCTION,07/30/2015,2007.1035,201307303137,,N,,Mixres,"Seven building mixed-use development for 416 rental dus in 384,000-sf, with 50K-sf retail, 8,700-sf industrial/studio, and 409-space below ground parking on site of SOMA busyard, block bounded by 8th Street, Harrison, Ringold, Gordon, totaling 634,000-sf","TO ERECT 6 STORIES, 1 BASEMENT, 408 RESIDENTIAL UNITS WITH COMMERCIAL & PARKING BUILDING.",410,410,62,62,-1,409,359,61700,56700,0,0,0,0,0,0,8700,3700,53000,53000,0,0,09/07/2007,DSANCHEZ,Amir Massih,Amir Massih,415 503 2207,Approved,01/01/41249 12:00:00 AM,SHEAR WALL,01/01/42215 12:00:00 AM,CASE TRACKING,D6,Western SoMa (EN); South of Market,South of Market,South of Market,WMUG,WSOMA MIXED USE-GENERAL,55/65-X,-122.40965844,37.7736941666,"(37.77369416660, -122.40965844000)"
APN 3736078A,57 TEHAMA ST,BP REINSTATED,07/20/2015,,201404304554,,,,Resident,,"TO ERECT 35 STORIES, 3 BASEMENT, 418 RESIDNETIAL UNITS WITH MIX USED & PARKING BUILDING. (R-2,B,A-3,",403,403,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,JKUGLER,Birmingha,During As,415 986-0,,,REINSTATED,01/01/42205 12:00:00 AM,CASE TRACKING,D6,Transbay; Transit Center District; Downtown,South of Market,Financial District,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),360-S,-122.396093313,37.7873947486,"(37.78739474860, -122.39609331300)"
APN 3736074,41 TEHAMA ST,PL APPROVED,11/14/2013,2013.0256,,,,,Resident,"The proposed project at 41 Tehama Street would construct a 360-foot tall, 35 story, 402, 217 square-foot building, with 398 dwelling units.  The project site is currently a surface parking lot with a one-story, 400 square-foot structure used as a valet p",,398,398,49,49,-1,241,91,57927,39052,0,0,0,0,0,0,0,0,0,0,0,0,08/08/2013,JKUGLER,Nancy Clark,Nancy Clark,415-536-2883,Approved,01/01/41627 12:00:00 AM,,,CASE TRACKING,D6,Transbay; Transit Center District; Downtown,South of Market,Financial District,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),360-S,-122.396622398,37.7869780545,"(37.78697805450, -122.39662239800)"
APN 3748006,340 FREMONT ST,BP FILED,08/03/2012,2004.0552,201208036505,,,,Mixres,"Demolition of two existing building and construction of two residential buildings with up to 355 dwelling units, 2,335 GSF, and 336 off-street parking spaces.","TO ERECT 40 STORIES, 3 BASEMENT, 345 UNITS OF RESIDENTIAL WITH COMMERCIAL OFFICE, ASSEMBLY, STORAGE & PARKING.",355,355,0,0,-1,336,336,2350,-42650,0,0,0,0,0,-45000,0,0,2350,2350,0,0,05/12/2006,JKUGLER,Oyster Development Corp.,Andrew Junius,567-9000,GRANTED W/C,01/01/38883 12:00:00 AM,,,CASE TRACKING,D6,Rincon Hill,South of Market,South of Market,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,85/250-R,-122.393231214,37.7871196058,"(37.78711960580, -122.39323121400)"
APN 3553052,1979 MISSION ST,BP FILED,12/17/2013,2013.1543,201312174382,APARTMENTS,N,,Resident,"Proposes to demolish all existing improvements on the project site and to contruct a 5 to 10 story up to 105' high, 345,013 sq.ft. building exclusive of a 56,643 sq.ft. basement parking garage. Off-street parking that meets the Planning Code requirements",ERECT 10-STORY MIXED-USE NEW BUILDING.,351,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,DVU,,,,,,,,PERMIT TRACKING,D9,Mission (EN),Mission,Mission,NCT,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,55-X,-122.419123068,37.7655813755,"(37.76558137550, -122.41912306800)"
APN 3749059,45 LANSING ST,CONSTRUCTION,07/14/2015,2004.0481,201009140800,APARTMENTS,,Jasper,Resident,"Demolition of an existing building and construction of a 400-foot mixed-use building with 305 dwelling units, 280 off-street parking spaces, and 1,000 GSF of ground floor retail use.","TO ERECT 40 STORIES, 224 UNITS RESIDENTIAL & MIXED USE BUILDING.",320,320,0,0,-1,280,280,0,-14000,0,0,0,0,0,-15000,0,0,0,1000,0,0,05/19/2004,JKUGLER,Ezra Mersey,James A. Reuben,567-9000,Approved,01/01/41507 12:00:00 AM,SITE VERIFICATI,01/01/42199 12:00:00 AM,CASE TRACKING,D6,Rincon Hill,South of Market,South of Market,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,65/400-R,-122.393748741,37.7858734308,"(37.78587343080, -122.39374874100)"
APN 0342001,950 MARKET ST,PL FILED,11/19/2013,2013.1049,,,N,,Mixres,"The proposed project is the demolition of five (5) existing structures and new construction of a mixed-use arts, education, residential, hotel, and retail complex, with approximately 198 below-grade parking spaces.  The proposed project includes approxim",,316,316,0,0,0,198,198,229000,169834,0,0,0,0,24000,24000,0,0,15000,-6321,190000,152155,11/19/2013,MHUE,Michelle  Lin,Michelle  Lin,394-9018,,,,,CASE TRACKING,D6,Downtown,Downtown,Downtown/Civic Center,C-3-G,DOWNTOWN- GENERAL,120-X,-122.409568316,37.7831754339,"(37.78317543390, -122.40956831600)"
APN 3701021,1270 MISSION ST,PL FILED,05/28/2015,2014.0926,,,R,,Mixres,"The proposal includes the demolition of a one-story, 1,192 sq.ft. building currently being operated as a pizza shop and surface parking lot on the project site and construction of an approximately 120 foot tall, 13 story mixed-use building containing 199",,312,312,0,0,0,19651,4623,3530,2338,0,0,0,0,0,0,0,0,3530,2338,0,0,06/13/2014,,,,,FILED,01/01/42152 12:00:00 AM,,,CASE TRACKING,D6,Downtown,Downtown,South of Market,C-3-G,DOWNTOWN- GENERAL,120-X,-122.414522788,37.7768070788,"(37.77680707880, -122.41452278800)"
APN 0350003,1066 MARKET ST,PL FILED,06/18/2014,2013.1753,,,,,Mixres,"The proposed project is the demolition of existing 2-story commercial building and parking lot and new construction of a 14-story building to house approximately up to 330 residential units, approximately 1,885 sq.ft. of retail on Market Street, approxim",,304,304,0,0,0,102,0,4540,-526,0,0,0,0,0,0,0,0,4540,-526,0,0,06/18/2014,IWILSON,Thomas Hart,Thomas Hart,772-7000,,,,,CASE TRACKING,D6,Downtown,Downtown,Downtown/Civic Center,C-3-G,DOWNTOWN- GENERAL,120-X,-122.41174159,37.7817990077,"(37.78179900770, -122.41174159000)"
APN 3708006,50 01ST ST,PL FILED,06/04/2014,2006.1523,,,,,Mixres,"The project site consist of three undeveloped lots and four buildings ranging from five to seven stories, totaling approx. 251,000 sq. ft. of office, retail, and commercial uses. There are no off-street parking or loading on the site. The proposed projec",,292,292,0,0,0,0,0,1970000,1704000,0,0,0,0,1050000,806000,0,0,310000,288000,610000,610000,12/21/2006,KGUY,Mark Solit,Joel Yodowitz,415 567-9000,,,,,CASE TRACKING,D6,Transit Center District; Downtown,Downtown,Financial District,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),850-S-2,-122.398320801,37.7899046877,"(37.78990468770, -122.39832080100)"
APN 3954016,1301 16TH STREET,PL FILED,09/16/2013,2013.0698,,,N,,Resident,"The proposed project would involve demolition of an existing one-story warehouse and construction of a new 7-story, residential building.  The building would consist of 7 residential levels with 276 units, ground floor parking and mechanical spaces. The",,276,276,0,0,0,56,56,0,-38600,0,0,0,0,0,0,0,-38600,0,0,0,0,09/16/2013,CTEAGUE,William Mollard,William Mollard,409-9267,,01/01/41491 12:00:00 AM,,,CASE TRACKING,D10,Showplace Square/Potrero Hill (EN),South of Market,Potrero Hill,UMU,URBAN MIXED USE,68-X,-122.400239355,37.7658451446,"(37.76584514460, -122.40023935500)"
APN 4022001,2070 BRYANT ST,PL FILED,06/12/2014,2013.0677,201406239109,APARTMENTS,N,,Resident,"The proposed project is the demolition of the 50,000 sf warehouse building at 2070 Bryant Street and construction of a new 6-story residential building with garage parking using conventional parking and parking stackers. The proposed project would constr",,274,271,0,0,0,120,120,0,-50000,0,0,0,0,0,0,0,-50000,0,0,0,0,06/12/2014,RSUCRE,Nick Podell,Linsey Perlov,415-296-8800,,,,,CASE TRACKING,D9,Mission (EN),Mission,Mission,UMU,URBAN MIXED USE,68-X,-122.410581329,37.761499537,"(37.76149953700, -122.41058132900)"
APN 8710004,718 LONG BRIDGE ST,CONSTRUCTION,07/15/2015,,201212246822,APARTMENTS,,Arden,Resident,,ERECT 16 STORIES & 263 DWELLING APARTMENT & PARKING.,263,263,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/24/2012,JBANALES,,,,,,"ROUGH FRAME, PA",01/01/42200 12:00:00 AM,PERMIT TRACKING,D6,Mission Bay,South of Market,South of Market,MB-RA,SEE MISSION BAY SOUTH REDEVELOPMENT PLAN,MB-RA,-122.394362815,37.7714244696,"(37.77142446960, -122.39436281500)"
APN 0647007,1634-1690 PINE ST,CONSTRUCTION,07/30/2015,2011.1306,201312184508,,,,Mixres,"1) Merge the six exiting assessor's lots, 2) demolish the existing five industrial/comercial bldgs. on the site and possibly maintain/incorporate some of the existing bldgs. facades into the new project and 3) construct a residential bldg. with some comm",,260,260,31,31,-1,298,262,4886,6666,0,0,0,0,0,0,0,0,4886,6666,0,0,09/28/2007,SSANCHEZ,AIS,AIS,415.215.6,,01/01/39175 12:00:00 AM,REINFORCING STE,01/01/42215 12:00:00 AM,CASE TRACKING,D2,Van Ness Corridor,Western Addition,Western Addition,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",130-E,-122.422950809,37.7895929753,"(37.78959297530, -122.42295080900)"
APN 0794028,555 FULTON ST,CONSTRUCTION,07/14/2015,2005.1085,201305036062,APARTMENTS,N,,Mixres,,"TO ERECT 5 STORIES OF 139 DWELLING UNITS, RETAIL, PARKING, STORAGE OFFICE UTILITY, ASSEMBLY",139,139,17,17,-1,0,0,32800,13180,0,0,0,0,0,0,0,-19620,32800,32800,0,0,,MJACINTO,,,,,,REINFORCING STE,01/01/42199 12:00:00 AM,PERMIT TRACKING,D5,Market and Octavia,Western Addition,Western Addition,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,40-X/50-X,-122.425752279,37.7781680419,"(37.77816804190, -122.42575227900)"
APN 4172022,1201-1225 TENNESSEE STREET,CONSTRUCTION,07/27/2015,2012.0493,201312234917,,N,,Mixres,"Existing commercial structure to be demolished and replacde with 6 story mixed use building including approximately 300 dwelling units and 5,000 square feet of retail.",ERECT A 6 STORY RESIDENTIAL AND COMMERCIAL BUILDING.,259,259,34,34,-1,201,0,5078,-139594,0,0,0,0,0,0,0,-79336,5078,-60258,0,0,04/11/2013,CTEAGUE,Morton Rothman,Jesse Herzog,775-7005,,,REINFORCING STE,01/01/42212 12:00:00 AM,CASE TRACKING,D10,Central Waterfront (EN),South of Market,Potrero Hill,UMU,URBAN MIXED USE,68-X,-122.388602973,37.7559279741,"(37.75592797410, -122.38860297300)"
APN 4167011,1395 22nd St,PL FILED,01/13/2014,2011.0671,,,N,,Resident,"The proposed project includes the construction of a mixed-use building with 251 dwelling units, 29,780 sq.ft of PDR, and 205 off-street parking spaces.",,251,251,0,0,0,224,219,72856,72856,0,0,0,0,0,0,0,0,0,0,0,0,01/13/2014,BFU,Redmond Lyons,Redmond Lyons,415-810-3791,,,,,CASE TRACKING,D10,Showplace Square/Potrero Hill (EN),South of Market,Potrero Hill,PDR-1-G,"PRODUCTION, DISTRIBUTION & REPAIR - 1 - GENERAL",40-X,-122.393593669,37.7562034233,"(37.75620342330, -122.39359366900)"
APN 0813007,1390 MARKET ST,PL APPROVED,05/28/2009,2005.0979,,APARTMENTS,,,Mixres,"Fox Plaza currently contains two buildings: a 29-story mixed-use building and a two-story commercial building.  The proposal would demolish the existing two-story, 19,000 structure located on the NE corner of the lot and construct a new building which wo",,230,230,0,0,-1,411,0,17500,-1500,0,0,0,0,0,-9500,0,0,17500,8000,0,0,10/19/2005,DLEWIS,,,,CEQA,01/01/39961 12:00:00 AM,,,PERMIT TRACKING,D6,Market and Octavia; Downtown,Downtown,Downtown/Civic Center,C-3-G,DOWNTOWN- GENERAL,120-R-2,-122.417361361,37.7772236125,"(37.77722361250, -122.41736136100)"
APN 3514043,1601 MISSION ST,PL FILED,02/11/2015,2014.1121,,,N,,Mixres,"Proposing New Construction of a 120' tall building consisting of 11-stories, containing a total of 200 dwelling units, ground floor retail/commercial space, 103 bicycle parking spaces, 2-car share spaces and 93 off-street parking spaces.",,220,220,0,0,0,106,106,9900,5471,9900,5471,0,0,0,0,0,0,0,0,0,0,07/17/2014,TCHANG,,,,FILED,01/01/42046 12:00:00 AM,,,CASE TRACKING,D6,Market and Octavia; Downtown,Mission,South of Market,C-3-G,DOWNTOWN- GENERAL,120-R-2,-122.418763248,37.7720407322,"(37.77204073220, -122.41876324800)"
APN 3703059,1095 MARKET ST,BP FILED,09/11/2014,,201409116118,TOURIST HOTEL/MOTEL,R,,Resident,,CHANGE OF OCCUPANCY FROM OFFICE TO HOTEL. NEW 202 HOTEL ROOMS. NEW ROOF DECK. ADD NEW STORY WITHIN (,202,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,CGROB,,,,,,,,PERMIT TRACKING,D6,Downtown,Downtown,South of Market,C-3-G,DOWNTOWN- GENERAL,90-X,-122.412013611,37.7803286884,"(37.78032868840, -122.41201361100)"
APN 0350002,1028 MARKET ST,PL FILED,04/29/2014,2014.0241,,CLUB,,,Mixres,"The property is currently improved by a vacant two-story structure.  The project would demolish the existing 2-story commercial building and construct a 13-story mixed use building with 12 floors of residential use above ground floor retail, as well as t",,186,186,0,0,0,0,0,9675,9675,0,0,0,0,0,0,0,0,9675,9675,0,0,04/29/2014,DDWYER,Sally Maxwell,Sally Maxwell,883-0133,,,,,CASE TRACKING,D6,Downtown,Downtown,Downtown/Civic Center,C-3-G,DOWNTOWN- GENERAL,120-X,-122.411323334,37.7818834819,"(37.78188348190, -122.41132333400)"
APN 3706093,706 MISSION ST,PL APPROVED,07/31/2013,2008.1084,201312204747,,N,,Mixres,"The proposed project would result in partial demolition and rehabilitation of the Arson Mercantile Building into a new 42-story, 500-foot high building containing 185 residences, retail, and the 36,560 sf Mexican Musuem. The proposed project would also i",,185,185,0,0,-1,0,0,174400,25570,0,0,0,0,0,-119330,0,0,174400,144900,0,0,10/26/2012,SJONES,Sean Jeffries,Sean Jeffries,593-1100,Approved,01/01/41486 12:00:00 AM,,,CASE TRACKING,D6,Yerba Buena; Central SoMa; Downtown,Downtown,Financial District,C-3-R,DOWNTOWN- RETAIL,400-I,-122.40253249,37.7862060968,"(37.78620609680, -122.40253249000)"
APN 0831023,PARCEL P - MARKET OCTAVIA,CONSTRUCTION,12/31/2014,2011.0744,201210051462,,N,,Mixres,"Mixed Use Development - Residential over podium garage, approx. 182 units of apartments, 126 spaces maximum parking garage, leasing fitness and 3,900 sq.ft. corner retail space (at Octavia & Laguna Streets) in Hayes NCT, RTO Districts.","TO ERECT 5 STORIES, 182 UNITS APARTMENT, RETAIL & PARKING BUILDING.",182,182,0,0,-1,126,126,3897,3897,0,0,0,0,0,0,0,0,3897,3897,0,0,08/03/2011,KGUY,Meg Spriggs,Meg Spriggs,415-284-9087,Approved,01/01/41088 12:00:00 AM,SOUND TRANSMISS,01/01/42004 12:00:00 AM,CASE TRACKING,D5,Market and Octavia,Western Addition,Western Addition,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,50-X,-122.425119564,37.7749621109,"(37.77496211090, -122.42511956400)"
APN 0836002,1540 MARKET ST,PL FILED,02/27/2009,2009.0159,,,N,,Mixres,"Construction of two buildings: one residential tower building, 400' in height, with 180-du and 50 parking spaces, and one 24-ft wide building, 65' in height, connected by pedestrian bridge at the third floor.  Demo of existing four-story commercial build",,180,180,0,0,0,50,22,34091,-13252,0,0,0,0,15281,-22827,0,0,18810,9575,0,0,02/27/2009,CROOS,Richard Johnson,Andrew Junius,415 567 9000,,,,,CASE TRACKING,D5,Market and Octavia; Downtown,Buena Vista,Downtown/Civic Center,C-3-G,DOWNTOWN- GENERAL,120/400-R-2,-122.41960726,37.7752149608,"(37.77521496080, -122.41960726000)"
APN 0671006,1450 FRANKLIN ST,CONSTRUCTION,04/14/2015,,200809252660,APARTMENTS,N,,Resident,,"ERECT A 13 STORIES 69 RESIDENTIAL UNIT & COMMERCIAL BUILDING WITH PARKING;
DEMOLISH A 2 STORY AUTO SALES AND SERVICE GARAGE",69,69,9,9,-1,0,0,0,-24000,0,0,0,0,0,0,0,0,0,-24000,0,0,,,,,,,,FLUES/VENTS/DUC,01/01/42108 12:00:00 AM,PERMIT TRACKING,D2,,Western Addition,Western Addition,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",130-E,-122.423253073,37.7880562921,"(37.78805629210, -122.42325307300)"
APN 4886008,Hunters Point Expy,PL APPROVED,08/03/2010,2007.0946,,,,Bayview Waterfront,Mixres,"Redevelopment plans, rezoning, projects, and infrastructure for 778-acre site encompassing BVHP Areas B, C, and Shipyard, for Candlestick Point, Hunters Point Shipyard, and India Basin Shoreline, including an estimated 9,000-du, 650,000-sf retail, 2,000,",,10500,10237,3345,3089,-1,0,0,4110000,4110000,0,0,0,0,2756250,2756250,393750,393750,750000,750000,210000,210000,01/11/2010,JNAVARRE,SF Redevelopment Agency,Nicole Franklin,,Approved,01/01/40393 12:00:00 AM,,,CASE TRACKING,D10,Bayview Hunters Point; Candlestick Point,South Bayshore,Bayview,P,PUBLIC,OS,-122.380302389,37.7146878859,"(37.71468788590, -122.38030238900)"
APN 7303001,3711 19th Ave,PL APPROVED,05/25/2011,2008.0021,,,N,Parkmerced,Mixres,"Master redevelopment program for 116-ac Parkmerced site, proposed to retain existing midrise bldgs and demo/replace all others w/ 4-14-story residential bldgs, on-site relocation of existing residents @ current rent-controlled rates, concurrent infrastru",,8898,5677,284,284,-1,10173,6975,521450,478383,0,0,0,0,91390,80615,0,0,430060,397768,0,0,12/07/2009,EWATTY,Seth Mallen,Barbara Sahm,415.536.2883,,,,,CASE TRACKING,D7,Parkmerced,Ingleside,Lakeshore,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",,-122.483610339,37.7212200819,"(37.72122008190, -122.48361033900)"
APN 5087003,SCHLAGE LOCK,PL APPROVED,07/22/2014,2014.114,,,N,Schlage Lock Project,Mixres,"Schlage Lock Project Tentative Subdivision Map #7182 for the development of up to 1,679 dwelling units and up to 20 commercial condominium units over 13 lots, together with parks, open spaces, pedestrian pathways and public streets.",,1679,1679,252,252,-1,0,0,38000,38000,0,0,0,0,18000,18000,0,0,20000,20000,0,0,07/22/2014,CFLORES,,,,Approved,01/01/41856 12:00:00 AM,,,manual,D10,Schlage Lock,South Bayshore,Visitacion Valley,MUG,MIXED USE-GENERAL,57-X,-122.402222462,37.7116529675,"(37.71165296750, -122.40222246200)"
