NEIGHBORHOOD,BLKLOT,NAMEADDR,UNITS,UNITSNET,BESTDATE,BESTSTAT,EntitlementStatus,CASENO,DESCRIPT,PLN_REVIEW,PLN_REVIEWDATE,BPAPPLNO,PROPUSE,DBIDESC,DBI_ACTION,DBI_ACTDATE,NEW_REHAB,source,TOTAL_GSF,RET,MIPS,CIE,MED,PDR,VISIT,NET_GSF,CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,FILEDATE,LANDUSE,StandardAddress,alias,Entitlement,sort,sizecat,AFFORDABLE,AFFNET,zoning_gen,ZONING_SIM,ZONINGDISTRICTNAME,HEIGHTLIMIT,SPONSOR,CONTACT,Geography
South of Market,3911001,1 HENRY ADAMS ST,560,560,03/24/2015 12:00:00 AM,CONSTRUCTION,true,2012.0701,"Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,",Approved,11/29/2012,201306250394,APARTMENTS,Multiple Permits,"FORMS, PARTIAL",03/24/2015,,CASE TRACKING,0,0,0,0,0,0,0,15000,0,0,0,0,15000,0,05/31/2012,Resident,1 Henry Adams St,,true,Construction,Above 250,0,0,Mixed Use,UMU,URBAN MIXED USE,68-X,Robert Meyers,Robert Meyers,"(37.769666000000001, -122.40386599999999)"
South of Market,3783001,801 BRANNAN ST,557,557,09/26/2014 12:00:00 AM,BP ISSUED,true,2012.0700,"Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,",Approved,01/31/2013,201309045886,APARTMENTS,"ERECT 6-STORY, 437 DWELLING UNITS, TYPE 1A& 3A, RESIDENTIAL/RETAIL/PAQRKING BUILDING.",ISSUED,09/26/2014,,EN Team & Teresa,8000,8000,0,0,0,0,0,8000,0,0,0,0,8000,0,05/31/2012,Mixres,801 Brannan St,,true,BP Approved/Issued/Re-Instated,Above 250,0,0,Mixed Use,UMU,URBAN MIXED USE,68-X,Bay West,Robert Me,"(37.772950000000002, -122.40322399999999)"
Financial District,3738004,280 BEALE ST,479,479,03/25/2015 12:00:00 AM,CONSTRUCTION,true,,,,,201304023626,APARTMENTS,"TO ERECT 32 STORIES, 479 CONDO UNITS WITH RETAIL.","ROUGH FRAME, PA",03/25/2015,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,280 Beale St,,true,Construction,Above 250,0,0,High Density Residential,TB DTR,TRANSBAY DOWNTOWN RESIDENTIAL,50/85-TB,,,"(37.788879600000001, -122.3929894)"
South of Market,3833001,1000 16TH ST,450,450,09/07/2012 12:00:00 AM,CONSTRUCTION,true,2003.0527,"The proposed project involves the construction of three building residential complex including 450 dwelling units, 26,500gsf of ground-floor retail space and 503 off-street parking spaces.  The project would include a partial street vacation to narrow th",APPR/WC,07/28/2011,201112070227,APARTMENTS,,ISSUED,09/07/2012,,BLDG PERMIT,26500,26500,0,0,0,0,0,26500,0,0,0,0,26500,0,02/23/2006,Resident,1000 16th St,,true,BP Approved/Issued/Re-Instated,Above 250,0,0,Mixed Use,UMU,URBAN MIXED USE,68-X,Andy Stewart,Daniel Murphy,"(37.766489999999997, -122.39698799999999)"
South of Market,3747320,399 FREMONT ST,447,447,03/26/2015 12:00:00 AM,CONSTRUCTION,true,,"The proposal is to demolish the existing structure and construct a new structure that would include a 400-foot tower, 450 dwelling units, and 450 off-street parking spaces.",Approved,03/16/2006,200605161774,APARTMENTS,ERECT 41 STORIES 432 DWELLING RESIDENTIAL/PARKING BLDG.,REINFORCING STE,03/26/2015,,CASE TRACKING,33000,8500,24500,0,0,0,0,-2256,0,0,24500,-35256,8500,0,04/18/2006,Mixres,399 Fremont St,The Californian,true,Construction,Above 250,0,0,High Density Residential,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,85/200-R,Katie Haley,Lucian Robert Blazej,"(37.7868171, -122.3920976)"
Downtown/Civic Center,0814001,150 VAN NESS AVE,429,429,04/23/2014 12:00:00 AM,PL FILED,false,2013.0973,"The proposed project is a 13 story, 429 unit residential bldg. on Hayes Street between Van Ness Avenue and Polk Street. The project would contain 512,010 gsf, including 410,760 sf of residential, 90,600 of subsurface parking and 9,000 sf of retail on the",,,,,,,,N,CASE TRACKING,9000,9000,0,0,0,0,0,-127558,0,0,-136558,0,9000,0,10/25/2013,Mixres,150 Van Ness Ave,,false,Planning Filed,Above 250,0,0,Commercial,C-3-G,DOWNTOWN- GENERAL,120-R-2,Marc Babsin,Marc Babsin,"(37.777091900000002, -122.4194433)"
Financial District,3736078A,57 TEHAMA ST,418,418,04/30/2014 12:00:00 AM,BP FILED,false,,,,,201404304554,APARTMENTS,"TO ERECT 35 STORIES, 3 BASEMENT, 418 RESIDNETIAL UNITS WITH MIX USED & PARKING BUILDING. (R-2,B,A-3,",,,,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,57 Tehama St,,false,BP Filed,Above 250,0,0,Commercial,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),360-S,Birmingha,During As,"(37.787039, -122.396591)"
South of Market,3756003,350 08TH ST,416,416,03/17/2015 12:00:00 AM,CONSTRUCTION,true,2007.1035,"Seven building mixed-use development for 416 rental dus in 384,000-sf, with 50K-sf retail, 8,700-sf industrial/studio, and 409-space below ground parking on site of SOMA busyard, block bounded by 8th Street, Harrison, Ringold, Gordon, totaling 634,000-sf",Approved,12/06/2012,201307303137,APARTMENTS,"TO ERECT 6 STORIES, 1 BASEMENT, 408 RESIDENTIAL UNITS WITH COMMERCIAL & PARKING BUILDING.",REINFORCING STE,03/17/2015,N,CASE TRACKING,61700,53000,0,0,0,8700,0,56700,0,0,0,3700,53000,0,09/07/2007,Mixres,350 08th St,,true,Construction,Above 250,0,0,Mixed Use,WMUG,WSOMA MIXED USE-GENERAL,55/65-X,Amir Massih,Amir Massih,"(37.773693999999999, -122.40965799999999)"
Downtown/Civic Center,0814020,100 VAN NESS AV,399,399,03/30/2015 12:00:00 AM,CONSTRUCTION,true,2012.0032,"100 Van Ness is an existing 29 story office building that is currently 96% vacant.  The proposal is to change the use from office to multi-family residential, renovate the interior of the building to create 399 multi-family residential units, and re-skin",APPR/WC,09/14/2012,201208026344,APARTMENTS,CONVERT (E) OFFICE BUILDING INT 399 RESIDENTIAL APARTMENTS GROUND FLOOR RETAIL AND ROOF DECK. MAINTA,"ROUGH FRAME, PA",03/30/2015,N,CASE TRACKING,1820,1820,0,0,0,0,0,-423740,0,0,-421005,0,-2735,0,03/30/2012,Mixres,100 Van Ness Ave,,true,Construction,Above 250,0,0,Commercial,C-3-G,DOWNTOWN- GENERAL,120/200-R-2,Marc Babsin,Marc Babsin,"(37.776427900000002, -122.4194191)"
Financial District,3736074,41 TEHAMA ST,398,398,11/14/2013 12:00:00 AM,BP FILED,true,2013.0256,"The proposed project at 41 Tehama Street would construct a 360-foot tall, 35 story, 402, 217 square-foot building, with 398 dwelling units.  The project site is currently a surface parking lot with a one-story, 400 square-foot structure used as a valet p",Approved,12/19/2013,201404304554,APARTMENTS,,,,,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/08/2013,Resident,41 Tehama St,,true,PL Approved,Above 250,0,0,Commercial,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),360-S,Nancy Clark,Nancy Clark,"(37.787269000000002, -122.39631)"
Potrero Hill,3949001,1200 17TH STREET,395,395,04/04/2012 12:00:00 AM,PL FILED,false,2011.1300,"The proposed project will demolish metal warehouses and temporary office buildings; preserve and rehabilitate brick office building; lot line adjustment to create two lots, construct approximately 200 residential units in 4-story building on 17th Street;",,03/28/2012,,,,,,N,CASE TRACKING,463149,24468,438681,0,0,0,0,358149,0,0,438681,-105000,24468,0,04/04/2012,Mixres,1200 17th St,,false,Planning Filed,Above 250,0,0,Mixed Use,UMU,URBAN MIXED USE,48-X,Attn: Indrajit Obeysekere,Jay Murphy,"(37.765577999999998, -122.395421)"
South of Market,8710007,718 LONG BRIDGE ST,263,263,03/30/2015 12:00:00 AM,CONSTRUCTION,true,,,,,201212246822,APARTMENTS,,"ROUGH FRAME, PA",03/30/2015,,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/24/2012,Resident,718 Long Bridge St,,true,Construction,Above 250,0,0,Mixed Use,MB-RA,SEE MISSION BAY SOUTH REDEVELOPMENT PLAN,MB-RA,,,"(37.773372999999999, -122.3915696)"
South of Market,3748006,340 FREMONT ST,355,355,08/03/2012 12:00:00 AM,BP FILED,true,2004.0552,"Demolition of two existing building and construction of two residential buildings with up to 355 dwelling units, 2,335 GSF, and 336 off-street parking spaces.",GRANTED W/C,06/15/2006,,APARTMENTS,"TO ERECT 40 STORIES, 3 BASEMENT, 345 UNITS OF RESIDENTIAL WITH COMMERCIAL OFFICE, ASSEMBLY, STORAGE & PARKING.",,,,CASE TRACKING,2350,2350,0,0,0,0,0,-42650,0,0,-45000,0,2350,0,05/12/2006,Mixres,340 Fremont St,,true,BP Filed,Above 250,0,0,High Density Residential,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,85/250-R,Oyster Development Corp.,Andrew Junius,"(37.787363999999997, -122.39304)"
Mission,3553052,1979 MISSION ST,351,351,12/17/2013 12:00:00 AM,BP FILED,false,2013.1543,"Proposes to demolish all existing improvements on the project site and to contruct a 5 to 10 story up to 105' high, 345,013 sq.ft. building exclusive of a 56,643 sq.ft. basement parking garage. Off-street parking that meets the Planning Code requirements",,,201312174382,APARTMENTS,ERECT 10-STORY MIXED-USE NEW BUILDING.,,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1979 Mission St,,false,BP Filed,Above 250,0,0,Neighborhood Commercial,NCT,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,105-E,,,"(37.765355999999997, -122.419702)"
Potrero Hill,4105009,800 INDIANA STREET,326,326,10/10/2013 12:00:00 AM,PL FILED,false,2011.1374,The proposed project is the demolition of the existing Opera Warehouse and construction of a new 340-unit multi-family units and 294 parking spaces. The project would be constructed in six building with a semi subterraen parking garage.,,02/01/2012,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,-78240,0,0,0,-78240,0,0,10/10/2013,Resident,800 Indiana St,,false,Planning Filed,Above 250,0,0,Public,P,PUBLIC,58-X,Lou Vasquez,Joe Kirchofer,"(37.760328999999999, -122.39128100000001)"
South of Market,0342001,950 MARKET ST,316,305,11/19/2013 12:00:00 AM,PL FILED,false,2013.1049,"The proposed project is the demolition of five (5) existing structures and new construction of a mixed-use arts, education, residential, hotel, and retail complex, with approximately 198 below-grade parking spaces.  The proposed project includes approxim",,,,,,,,N,CASE TRACKING,229000,15000,24000,0,0,0,190000,169834,0,0,24000,0,-6321,152155,11/19/2013,Mixres,950 Market St,,false,Planning Filed,Above 250,0,0,Commercial,C-3-R,DOWNTOWN- RETAIL,120-X,Michelle  Lin,Michelle  Lin,"(37.783479, -122.40861)"
South of Market,3749059,45 LANSING ST,305,305,03/26/2015 12:00:00 AM,CONSTRUCTION,true,2004.0481,"Demolition of an existing building and construction of a 400-foot mixed-use building with 305 dwelling units, 280 off-street parking spaces, and 1,000 GSF of ground floor retail use.",Approved,08/21/2013,201009140800,APARTMENTS,"TO ERECT 40 STORIES, 224 UNITS RESIDENTIAL & MIXED USE BUILDING.",INSULATION,03/26/2015,,CASE TRACKING,1000,1000,0,0,0,0,0,-14000,0,0,-15000,0,1000,0,05/19/2004,Resident,45 Lansing St,,true,Construction,Above 250,0,0,High Density Residential,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,45/65-R,Ezra Mersey,James A. Reuben,"(37.786042000000002, -122.39385900000001)"
Downtown/Civic Center,0350003,1066 MARKET ST,304,304,06/18/2014 12:00:00 AM,PL FILED,false,2013.1753,"The proposed project is the demolition of existing 2-story commercial building and parking lot and new construction of a 14-story building to house approximately up to 330 residential units, approximately 1,885 sq.ft. of retail on Market Street, approxim",,,,,,,,,CASE TRACKING,4540,4540,0,0,0,0,0,-526,0,0,0,0,-526,0,06/18/2014,Mixres,1066 Market St,,false,Planning Filed,Above 250,0,0,Commercial,C-3-G,DOWNTOWN- GENERAL,120-X,Thomas Hart,Thomas Hart,"(37.781798999999999, -122.411742)"
Potrero Hill,4172022,1201-1225 TENNESSEE STREET,300,300,04/01/2015 12:00:00 AM,BP ISSUED,true,2012.0493,"Existing commercial structure to be demolished and replacde with 6 story mixed use building including approximately 300 dwelling units and 5,000 square feet of retail.",,,201312234917,APARTMENTS,ERECT A 6 STORY RESIDENTIAL AND COMMERCIAL BUILDING.,ISSUED,04/01/2015,N,CASE TRACKING,5078,5078,0,0,0,0,0,-139594,0,0,0,-79336,-60258,0,04/11/2013,Mixres,1225 Tennessee St,,true,BP Approved/Issued/Re-Instated,Above 250,0,0,Mixed Use,UMU,URBAN MIXED USE,68-X,Morton Rothman,Jesse Herzog,"(37.755927999999997, -122.388603)"
Financial District,3708006,50 01ST ST,292,292,06/04/2014 12:00:00 AM,PL FILED,false,2006.1523,"The project site consist of three undeveloped lots and four buildings ranging from five to seven stories, totaling approx. 251,000 sq. ft. of office, retail, and commercial uses. There are no off-street parking or loading on the site. The proposed projec",,,,,,,,,CASE TRACKING,1970000,310000,1050000,0,0,0,610000,1704000,0,0,806000,0,288000,610000,12/21/2006,Mixres,50 01ST St,,false,Planning Filed,Above 250,0,0,Commercial,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),550-S,Mark Solit,Joel Yodowitz,"(37.790324499999997, -122.3982439)"
Potrero Hill,3954016,1301 - 16TH STREET,276,276,09/16/2013 12:00:00 AM,PL FILED,false,2013.0698,"The proposed project would involve demolition of an existing one-story warehouse and construction of a new 7-story, residential building.  The building would consist of 7 residential levels with 276 units, ground floor parking and mechanical spaces. The",,08/05/2013,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,-38600,0,0,0,-38600,0,0,09/16/2013,Resident,1301 16th St,,false,Planning Filed,Above 250,0,0,Mixed Use,UMU,URBAN MIXED USE,68-X,William Mollard,William Mollard,"(37.766229000000003, -122.399781)"
Mission,4022001,2070 BRYANT ST,274,274,06/12/2014 12:00:00 AM,PL FILED,false,2013.0677,"The proposed project is the demolition of the 50,000 sf warehouse building at 2070 Bryant Street and construction of a new 6-story residential building with garage parking using conventional parking and parking stackers. The proposed project would constr",,,,,,,,N,CASE TRACKING,15000,15000,0,0,0,0,0,-67000,0,0,-5000,-47000,-15000,0,06/12/2014,Resident,2070 Bryant St,,false,Planning Filed,Above 250,0,0,Mixed Use,UMU,URBAN MIXED USE,68-X,Nick Podell,Linsey Perlov,"(37.760899999999999, -122.410038)"
Bayview,5431A001,5800 03RD ST,271,271,03/30/2015 12:00:00 AM,CONSTRUCTION,true,2012.0045,The proposed project would construct buildings #3 and #4 as a modification to the previously approved project (case # 2003.0672CE). Building #3 will construct 150 market rate residential units with 141 at-grade parking spaces. Building #4 would construct,APPROVED,10/25/2012,201211073775,APARTMENTS,"ERECT 4-STORY, TYPE 5, 121 DWELLING UNITS BUILDING.","ROUGH FRAME, PA",03/30/2015,,CASE TRACKING,0,0,0,0,0,0,0,13000,0,0,0,13000,0,0,,Resident,5800 03rd St,,true,Construction,Above 250,0,30,Industrial,M-1,LIGHT INDUSTRIAL,65-J,Robert Kagan,"Jared Eigerman, Esq,","(37.725430000000003, -122.39448299999999)"
Western Addition,0647007,1634-1690 PINE ST,260,260,07/17/2012 12:00:00 AM,PL FILED,false,2011.1306,"1) Merge the six exiting assessor's lots, 2) demolish the existing five industrial/comercial bldgs. on the site and possibly maintain/incorporate some of the existing bldgs. facades into the new project and 3) construct a residential bldg. with some comm",,04/03/2007,,,,CANCELLED,12/10/2002,,CASE TRACKING,4886,4886,0,0,0,0,0,6666,0,0,0,0,6666,0,09/28/2007,Mixres,1688 Pine St,,false,Planning Filed,Above 250,0,0,Mixed Use,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",130-V,AIS,AIS,"(37.789546399999999, -122.42276149999999)"
Potrero Hill,4167011,1395 22ND ST,251,251,01/13/2014 12:00:00 AM,PL FILED,false,2011.0671,"The proposed project includes the construction of a mixed-use building with 251 dwelling units, 29,780 sq.ft of PDR, and 205 off-street parking spaces.",,,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/13/2014,Resident,1395 22nd St,,false,Planning Filed,Above 250,0,0,Mixed Use,UMU,URBAN MIXED USE,40-X,Redmond Lyons,Redmond Lyons,"(37.757528999999998, -122.394661)"
South of Market,3733008,250 4TH ST,220,220,09/12/2014 12:00:00 AM,BP ISSUED,true,2011.0038,"The project proposes to demolish an existing three-story office building and construct a hotel building with 215-guest bedrooms that would be 93,460 square-feet, and 119-feet tall.",,,201306280802,TOURIST HOTEL/MOTEL,"TO ERECT 11 STORIES, 1 BASEMENT, 208 UNITS HOTEL, COMMERCIAL & RESTAURANT BUILDING",ISSUED,09/12/2014,N,CASE TRACKING,83865,5865,0,0,0,0,78000,52665,0,0,-31200,0,5865,78000,01/14/2011,Mixres,250 04th St,,true,BP Approved/Issued/Re-Instated,100-249,0,0,Commercial,C-3-S,DOWNTOWN SUPPORT,130-L,Michael Stanton,Michael Stanton,"(37.782449, -122.401973)"
Lakeshore,7331003,800 BROTHERHOOD WAY,210,210,09/11/2012 12:00:00 AM,CONSTRUCTION,true,2003.0536,"The project site is currently an 8.15-acre parcel of vacant land.  The proposed project involves the subdivision of the site into 127 lots and the construction of 127 buildings, including 66 single-family homes, 39 two-unit buildings, and 22 three-unit b",Approved,12/10/2007,201209119428,2 FAMILY DWELLING,,Approved,05/19/2005,,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/23/2003,Resident,800 Brotherhood Way,,true,Construction,100-249,0,0,Residential,PM-OS,PARKMERCED-OPEN SPACE,40-OS-PM,"Steve Riter,",Mission Development Group,"(37.714747000000003, -122.47841)"
South of Market,3703059,1095 MARKET ST,202,202,09/11/2014 12:00:00 AM,BP FILED,false,,,,,201409116118,TOURIST HOTEL/MOTEL,CHANGE OF OCCUPANCY FROM OFFICE TO HOTEL. NEW 202 HOTEL ROOMS. NEW ROOF DECK. ADD NEW STORY WITHIN (,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1095 Market St,,false,BP Filed,100-249,0,0,Commercial,C-3-G,DOWNTOWN- GENERAL,90-X,,,"(37.780520000000003, -122.412273)"
Western Addition,0857001A,218 BUCHANAN ST,191,191,03/19/2015 12:00:00 AM,CONSTRUCTION,true,2004.0773,,,,201209059006,APARTMENTS,"BLDG 2 - ERECT 6 STORY, 2 BASEMENT, 191 DWELLING UNITS, TYPE 1A, NEW BUILDING. (AKA: 68, 88 HERMAN STREET AND 155 LAGUNA STREET).","ROUGH FRAME, PA",03/19/2015,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,218 Buchanan St,,true,Construction,100-249,160,160,Residential,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",40-X,,,"(37.772350000000003, -122.42627899999999)"
South of Market,3507039,1420 MISSION ST,190,190,03/03/2015 12:00:00 AM,CONSTRUCTION,true,2011.1043,"New high rise residential building with approximately 190 dwelling units and a podium courtyard, parking, retail, residential entrance and utility spaces will be located on the ground floor.",,,201212216752,APARTMENTS,"ERECT 15-STORY, 190 DWELLING UNITS, TYPE 1, NEW BUILDING.",OK TO COVER,03/03/2015,N,PERMIT TRACKING,12250,12250,0,0,0,0,0,12250,0,0,0,0,12250,0,,Resident,1420 Mission St,,true,Construction,100-249,190,190,Commercial,C-3-G,DOWNTOWN- GENERAL,200-S/150-S,,,"(37.775094600000003, -122.4162006)"
Downtown/Civic Center,0350002,1028 MARKET ST,186,186,04/29/2014 12:00:00 AM,PL FILED,false,2014.0241,"The property is currently improved by a vacant two-story structure.  The project would demolish the existing 2-story commercial building and construct a 13-story mixed use building with 12 floors of residential use above ground floor retail, as well as t",,,,CLUB,,,,,CASE TRACKING,9675,9675,0,0,0,0,0,9675,0,0,0,0,9675,0,04/29/2014,Mixres,1028 Market St,,false,Planning Filed,100-249,0,0,Commercial,C-3-G,DOWNTOWN- GENERAL,120-X,Sally Maxwell,Sally Maxwell,"(37.781883000000001, -122.411323)"
